parameter,perturbation,parameter_value,max_viable_cells,final_product,final_glucose,IVCD,max_viable_cells_percent_change,final_product_percent_change,final_glucose_percent_change,IVCD_percent_change
mu_max,-0.2,0.05734577577508816,4.372876202535198,2.1709221415450326,26.194836939507564,273.5504591492546,-79.57985312431185,-69.19156230981028,517.4606785140104,-66.97846571402657
mu_max,-0.1,0.06451399774697418,9.946032864757909,3.8663832304549994,18.32716838069935,468.5513260529513,-53.554721761610836,-45.13058549529912,332.0052020067995,-43.43901404474023
mu_max,0.1,0.07885044169074623,27.32667726581811,10.71999520130037,0.226101946271716,1259.3817848265908,27.608177672402906,52.13180513389884,-94.67035960251728,52.025768540535125
mu_max,0.2,0.08601866366263224,31.695855689350058,12.890234318894723,0.2828163093620202,1547.0255156438127,48.011056922193845,82.9305497538385,-93.33349733473149,86.74856648014183
K_G,-0.2,0.559998486859211,22.413037697071342,7.3075712460691,2.8988683841018132,857.6511827623713,4.662812416045793,3.704711050076977,-31.66831908502166,3.5310195606026404
K_G,-0.1,0.6299982977166124,21.90707790775045,7.174866690042548,3.5807423250451498,842.788119472009,2.3001173081589097,1.8214468061374884,-15.595291136491523,1.7368308191043191
K_G,0.1,0.7699979194314153,20.937010107327065,6.922268197750212,4.883248054357484,814.4600056788427,-2.229836444599261,-1.76328097451235,15.107174133548016,-1.6827861092942806
K_G,0.2,0.8399977302888165,20.474964717091133,6.801886488424234,5.503759669963107,800.9427639882028,-4.387463208966012,-3.471666696797351,29.733778761111516,-3.31451453456338
kd,-0.2,0.034842585740553524,28.8515180886814,11.655790516461966,0.21079412624053492,1371.8619714007023,34.72877110398952,65.41205646405898,-95.03119318834379,65.60376928307137
kd,-0.1,0.03919790895812272,25.824744685412735,9.64685353593894,0.18903072365784607,1126.571133344257,20.594559525271706,36.902415973721894,-95.54419677590242,35.99358385656252
kd,0.1,0.047908555393261096,13.428501307252608,4.837405058915938,13.881510318658343,578.9352924812133,-37.292537836883476,-31.350420409939534,227.21283205358054,-30.11405767885169
kd,0.2,0.05226387861083028,8.116419522491752,3.3375463355994097,20.770021882145237,408.0975505896847,-62.098520269589045,-52.635524623072946,389.58777005241905,-50.73666737489819
qG,-0.2,0.03850942227925528,22.416655417075884,7.142379220035305,9.92908725009233,838.5448552418477,4.67970618811394,1.3604039265813648,134.0469217130417,1.2246068744014305
qG,-0.1,0.04332310006416219,22.000807085535467,7.098942499478563,6.977580958558126,833.9356613506543,2.7378071690788075,0.7439757861478391,64.47446811778981,0.6682098769988515
qG,0.1,0.05295045563397601,20.468140372322704,6.979161828135187,1.9219076778151192,821.3341134571865,-4.419331049729687,-0.9558803620533857,-54.697087005141775,-0.852980937721874
qG,0.2,0.05776413341888292,18.88924777554997,6.882978640025851,0.5215229641350669,811.3289500257501,-11.792331618175671,-2.3208550430897796,-87.70674068179444,-2.0607502403779456
qP,-0.2,0.00801342485008776,21.414518853150188,5.637214488773161,4.242349003105498,828.4002093308266,0.0,-19.99999999999999,0.0,0.0
qP,-0.1,0.00901510295634873,21.414518853150188,6.3418662998698085,4.242349003105498,828.4002093308266,0.0,-9.99999999999995,0.0,0.0
qP,0.1,0.01101845916887067,21.414518853150188,7.751169922063098,4.242349003105498,828.4002093308266,0.0,10.000000000000039,0.0,0.0
qP,0.2,0.012020137275131638,21.414518853150188,8.455821733159741,4.242349003105498,828.4002093308266,0.0,20.000000000000014,0.0,0.0
