max_viable_cells,final_viable_cells,final_dead_cells,final_glucose,final_lactate,final_product,final_volume,IVCD,feed_rate,product_improvement_percent,feasible
13.756589898800517,10.871854097432287,31.161831021814827,0.12423581934823971,13.469920588850476,6.746262273462697,1.2400000000000018,715.486826165147,0.002,-4.261052519491396,False
14.571497639077737,12.268144118189376,31.99593556666549,0.13981220528772928,13.683386367880939,6.853174272108074,1.3000000000000007,734.6380572179758,0.0025,-2.743820931326017,False
15.348090137601364,13.611083538782307,32.68573812284623,0.1612874622664462,13.84407729970723,6.933654566250616,1.3599999999999999,750.4761044414037,0.003,-1.6016923952864799,False
16.085599074859804,14.881730368720644,33.254027623153426,0.20017878302672285,13.961084986575216,6.9922565853505585,1.4200000000000017,763.5242672893673,0.0034999999999999996,-0.770047344821902,False
16.783531652504653,16.049817156049755,33.72143531953028,0.2753252711044479,14.04261717582743,7.033091089815295,1.4799999999999978,774.2563216052199,0.004,-0.1905483096716703,False
17.444379636012485,17.078240170270963,34.1069278596084,0.40978741558681037,14.09624470877267,7.059949852637317,1.5400000000000007,783.1077906062262,0.0045,0.19061530048383699,False
18.069269432710406,17.941895863491265,34.4277294967126,0.6184459595772425,14.12886863426302,7.0762891885893,1.5999999999999994,790.4740601648881,0.004999999999999999,0.4224934521422312,False
18.659145524396035,18.643825732164174,34.69849915828921,0.8978364980791905,14.146337350359637,7.085038203818532,1.6600000000000004,796.6916146797616,0.0055,0.5466542801065553,False
19.20891859346797,19.20891859346797,34.93079083365537,1.2308470070062336,14.153184469925073,7.088467508698357,1.7199999999999993,802.0257697682749,0.005999999999999999,0.5953209382463828,False
19.667442960438308,19.667442960438308,35.133273000810966,1.5977508903811655,14.152712341626199,7.088231048408193,1.7799999999999998,806.6751069762336,0.006499999999999999,0.5919652342456304,False
20.045381911180097,20.045381911180097,35.31213302871382,1.982528566311153,14.147171682829013,7.085456070102486,1.84,810.7821139065352,0.006999999999999999,0.5525843902314997,True
20.36236083513478,20.36236083513478,35.471910581399065,2.3738392499459935,14.13812596320372,7.080925620450476,1.9000000000000001,814.4509347427124,0.007499999999999999,0.4882909394709042,True
20.632614473934932,20.632614473934932,35.61603230538697,2.764118682094223,14.12668689823751,7.075196489984103,1.959999999999999,817.7602607084517,0.007999999999999998,0.4069865225070669,True
20.86640487605856,20.86640487605856,35.747060765065584,3.1485387182261393,14.11362289913633,7.068653529044171,2.0199999999999996,820.768868859891,0.008499999999999999,0.3141327068083759,True
21.071189866931217,21.071189866931217,35.8669772418461,3.524110263240715,14.099480477045258,7.0615704517551094,2.0799999999999987,823.5223249416341,0.008999999999999998,0.21361388066587805,True
21.252494739395843,21.252494739395843,35.977333895105595,3.889055652929147,14.084648580501852,7.054142058734177,2.1400000000000006,826.0562786041537,0.009499999999999998,0.10819453874477417,True
21.414518853150494,21.414518853150494,36.079415860643124,4.242349003105037,14.069426229688794,7.046518110966549,2.1999999999999993,828.4002093308351,0.009999999999999998,1.399099569946217e-12,True
21.560470718387332,21.560470718387332,36.17426590022702,4.583512216511963,14.054030983732494,7.038807570559083,2.2599999999999993,830.5780664176445,0.010499999999999999,-0.1094234100579025,True
21.692833736623143,21.692833736623143,36.26270407485532,4.912455302830795,14.038605294085489,7.031081782762387,2.32,832.6087308582123,0.010999999999999998,-0.21906320200951174,True
21.813613345275655,21.813613345275655,36.345455455027434,5.229264751985392,14.02326973634498,7.0234011365444005,2.3799999999999994,834.5088269605162,0.011499999999999998,-0.3280623714863208,True
21.924432206742505,21.924432206742505,36.423119883875,5.5341688308209305,14.008107111433716,7.015807101840877,2.44,836.2919885908273,0.011999999999999999,-0.4358324017897293,True
22.026553363814614,22.026553363814614,36.49621392554158,5.827561808300267,13.993181886626157,7.008331966380498,2.4999999999999987,837.9703608479136,0.012499999999999997,-0.5419150846504298,True
22.121126555721943,22.121126555721943,36.565193868450116,6.109777570551661,13.97854410817808,7.001000795282629,2.5600000000000005,839.5541957863738,0.012999999999999998,-0.6459547107809511,True
22.20899116396792,22.20899116396792,36.63041481617598,6.381302794912867,13.964213041127719,6.993823237230775,2.6199999999999997,841.0517238013098,0.013499999999999998,-0.7478143517954781,True
22.290893160124053,22.290893160124053,36.69221539472136,6.642587777784201,13.950211873815373,6.9868109058513435,2.680000000000003,842.4707595534692,0.013999999999999997,-0.847329194005543,True
22.36752082830286,22.36752082830286,36.750908254117064,6.894037910776131,13.936563226488403,6.979975130247593,2.74,843.818382659399,0.014499999999999997,-0.9443384615062145,True
22.439329026675342,22.439329026675342,36.80669250403889,7.136175801715478,13.923248196612107,6.97330644329194,2.8000000000000007,845.099192145795,0.014999999999999998,-1.038976506149487,True
22.50690769328607,22.50690769328607,36.859874521215964,7.369342640332931,13.910305942754725,6.966824457124634,2.8599999999999994,846.3203020388421,0.015499999999999998,-1.1309650040888892,True
22.57059517187812,22.57059517187812,36.910607059133206,7.594015302865216,13.89771332224818,6.960517580993705,2.92,847.4851643470224,0.015999999999999997,-1.2204684443924587,True
22.630744057889817,22.630744057889817,36.95907798093339,7.810594884696334,13.885470125849704,6.954385710102201,2.9800000000000004,848.5981317363951,0.016499999999999997,-1.307488314276291,True
22.68769827303069,22.68769827303069,37.0054731324781,8.019431632132267,13.873581527316027,6.948431435669548,3.039999999999999,849.663396977386,0.016999999999999998,-1.3919878406932729,True
22.74168284084308,22.74168284084308,37.04990274510699,8.220943558896755,13.862025406772768,6.9426436791988,3.1000000000000014,850.6835598389109,0.017499999999999995,-1.4741242430923611,True
22.792979327059122,22.792979327059122,37.09251780858253,8.415443278486093,13.850802474266903,6.937022796309218,3.160000000000002,851.6620181538091,0.017999999999999995,-1.5538924747362088,True
22.841789885875258,22.841789885875258,37.13343912866605,8.603270188333905,13.839904900967317,6.931564866016428,3.22,852.6015903727773,0.018499999999999996,-1.6313481799063414,True
22.888294800627097,22.888294800627097,37.172768104984584,8.784748298496142,13.829320651147153,6.926263860358405,3.2799999999999994,853.5045943926327,0.018999999999999996,-1.7065769038597176,True
22.932674999767073,22.932674999767073,37.21061610624411,8.960164104245358,13.81904605085578,6.921117939277176,3.339999999999999,854.3736474765378,0.019499999999999997,-1.7796047596062352,True
22.97509911072981,22.97509911072981,37.24705986956366,9.129793372418279,13.809065803595528,6.916119441689344,3.4,855.2103750442268,0.019999999999999997,-1.8505404686914462,True
