time_hr,viable_cells_residual,glucose_residual,product_residual
0,0.015235853987721537,0.3193855113320119,0.0
6,-0.061813037473501975,0.22738431215707422,-0.0011467194418889742
12,0.04786492547530874,0.2644952206184321,-0.0035119691914423656
18,0.06842968113900083,0.2809837515687903,-0.007561283168290384
24,-0.19144862769397575,1.5322780376919312,-0.005548902145744106
36,-0.18912350203227524,-0.36120931734537365,0.03572387297549395
48,-0.02625073338066697,-0.4664939134362136,-0.043714662408700145
60,-0.16047111007233283,-0.7069565901981605,0.04388179559984118
72,-0.14847650681106295,0.34264412040291603,-0.17904440018197687
84,-0.5957473673154468,0.6286237591193853,-0.0919216154096909
96,0.19961444206738577,-0.13358645904180477,-0.05036848916358094
108,0.20531388373520443,-0.273173731171374,0.024533814337264204
120,-0.11114981134462809,0.08446887203380715,0.08335000059152176
