time_s,Product,Impurity
124.0,6.247868302793642e-62,9.78830852091024e-44
125.0,6.519259640609504e-62,1.5940861826638652e-43
126.0,5.562404759305112e-62,2.587893630093289e-43
127.0,2.71896123067888e-62,4.194044007171773e-43
128.0,-2.766678623564196e-62,6.768450520807211e-43
129.0,-1.157958437246556e-61,1.0896082663090375e-42
130.0,-2.4216956412418044e-61,1.7498781970199015e-42
131.0,-4.077520363412576e-61,2.7995837833892123e-42
132.0,-6.055529231311031e-61,4.470101723456253e-42
133.0,-8.187851792488513e-61,7.116895552971182e-42
134.0,-1.0160470709455532e-60,1.1291893467613521e-41
135.0,-1.1489470771962235e-60,1.788663989491166e-41
136.0,-1.1504077330805072e-60,2.8242583332186896e-41
137.0,-9.343208795585428e-61,4.4454566858659823e-41
138.0,-4.034981621763316e-61,6.987301920187765e-41
139.0,5.485646282297275e-61,1.0945566477573892e-40
140.0,2.0146371036875312e-60,1.7097704704061802e-40
141.0,4.05020468465126e-60,2.6670642428647656e-40
142.0,6.658182004114161e-60,4.1462203240463976e-40
143.0,9.730975543622727e-60,6.4307623115182595e-40
144.0,1.3026857735438e-59,9.955160447206949e-40
145.0,1.6125316616806175e-59,1.536323380487778e-39
146.0,1.8390743289316658e-59,2.3663095409722066e-39
147.0,1.8965561844709075e-59,3.6364531823840836e-39
148.0,1.6760916994396634e-59,5.572403667833665e-39
149.0,1.055077969593042e-59,8.524691075107132e-39
150.0,-9.849734965866132e-61,1.300843842221811e-38
151.0,-1.9052354708248442e-59,1.9798173755619946e-38
152.0,-4.444594954675368e-59,3.0086824966040466e-38
153.0,-7.739246246689912e-59,4.560079791109016e-38
154.0,-1.1698119762632515e-58,6.894528384332423e-38
155.0,-1.6079532424683352e-58,1.0409702703673681e-37
156.0,-2.0458038934743648e-58,1.5674171790457186e-37
157.0,-2.416641067295859e-58,2.35502201915965e-37
158.0,-2.629263701279224e-58,3.532815994244814e-37
159.0,-2.5649251982792846e-58,5.285793310225713e-37
160.0,-2.083990475739712e-58,7.89388860975957e-37
161.0,-1.031679398231888e-58,1.1766986501900387e-36
162.0,7.509270068710056e-59,1.749777636614012e-36
163.0,3.397901713161422e-58,2.5976815984743146e-36
164.0,7.003709980186046e-58,3.848553524006875e-36
165.0,1.1581390957688074e-57,5.688827278461881e-36
166.0,1.7020493726527445e-57,8.396529820361037e-36
167.0,2.3060688831149837e-57,1.236605547791571e-35
168.0,2.923415255429821e-57,1.817345230431301e-35
169.0,3.48503809104417e-57,2.6671050026555674e-35
170.0,3.89664467422933e-57,3.905417844547621e-35
171.0,4.040353369870499e-57,5.70730153040863e-35
172.0,3.7816813554038503e-57,8.329183556030471e-35
173.0,2.971070188803551e-57,1.2128208183133158e-34
174.0,1.4687199668934602e-57,1.7628999466591976e-34
175.0,-8.397930540063451e-58,2.558419167881261e-34
176.0,-4.016617936782835e-57,3.708178743051245e-34
177.0,-8.006075894218888e-57,5.390585540694353e-34
178.0,-1.2640478948879855e-56,7.84444625595314e-34
179.0,-1.7591449003851584e-56,1.1405752001223259e-33
180.0,-2.2358245691291613e-56,1.6576341688724455e-33
181.0,-2.6211784393786733e-56,2.395548769003309e-33
182.0,-2.8120068413228496e-56,3.451324447109291e-33
183.0,-2.6647437004984466e-56,4.981119059583242e-33
184.0,-2.0097151217720553e-56,7.146959337621934e-33
185.0,-6.563423719014514e-57,1.0253469004622122e-32
186.0,1.6178318582008306e-56,1.4703556516001484e-32
187.0,5.0867388955280185e-56,2.0945227870118462e-32
188.0,9.956343750141781e-56,2.992461355013069e-32
189.0,1.6495359759098906e-55,4.2636385836244375e-32
190.0,2.4978078443140938e-55,6.037180288760085e-32
191.0,3.5506897328435856e-55,8.585207423490968e-32
192.0,4.827571044466562e-55,1.2154891607762622e-31
193.0,6.3385021352759774e-55,1.7138114583543731e-31
194.0,8.085093585038494e-55,2.422946042628346e-31
195.0,1.006312697417409e-54,3.4092780639846133e-31
196.0,1.2277906259275112e-54,4.7875438170153255e-31
197.0,1.475336962917724e-54,6.729806808206184e-31
198.0,1.748914782610145e-54,9.412559049133128e-31
199.0,2.0598337130256146e-54,1.3166959103067854e-30
200.0,2.4230681526833855e-54,1.8404814368199073e-30
201.0,2.854041527504348e-54,2.5591157179572444e-30
202.0,3.407662930146034e-54,3.5667470679410954e-30
203.0,4.1350244411833143e-54,4.958173025105643e-30
204.0,5.111317977346143e-54,6.861667340309644e-30
205.0,6.489584164828663e-54,9.520335009147097e-30
206.0,8.415814858203789e-54,1.3162920911269575e-29
207.0,1.1111119846015598e-53,1.8145048917817527e-29
208.0,1.491150314650881e-53,2.5049156722053103e-29
209.0,2.0170560924054827e-53,3.445013496557854e-29
210.0,2.739856807227304e-53,4.7312265529455583e-29
211.0,3.7260939323642474e-53,6.499093172003449e-29
212.0,5.049768106596449e-53,8.891911948375725e-29
213.0,6.816528703950003e-53,1.2168145494787012e-28
214.0,9.15034604814604e-53,1.6633354425560325e-28
215.0,1.2194568312507866e-52,2.264191541938619e-28
216.0,1.6162860269769933e-52,3.087804335108224e-28
217.0,2.1278572858519094e-52,4.200631772949569e-28
218.0,2.7825289521848745e-52,5.695504992246311e-28
219.0,3.6220984349416335e-52,7.73360533142535e-28
220.0,4.689077836417988e-52,1.0471036017362823e-27
221.0,6.042027436749363e-52,1.4145905441327316e-27
222.0,7.76343740787458e-52,1.912257062832812e-27
223.0,9.938592754229134e-52,2.5770952245760715e-27
224.0,1.269508012268577e-51,3.469417746928038e-27
225.0,1.619690172805133e-51,4.669403090821947e-27
226.0,2.0622332649073495e-51,6.264061823144553e-27
227.0,2.625742642893425e-51,8.404695825573532e-27
228.0,3.342551168587943e-51,1.1262639051822378e-26
229.0,4.25083260950201e-51,1.504243962339911e-26
230.0,5.414063604045842e-51,2.0115637381909575e-26
231.0,6.895222018320882e-51,2.684046831289662e-26
232.0,8.779295244869809e-51,3.5722259231737905e-26
233.0,1.1193823795267484e-50,4.757664715396036e-26
234.0,1.4269135026060384e-50,6.321403089925752e-26
235.0,1.8187880443155843e-50,8.384686117574534e-26
236.0,2.3199913780510396e-50,1.1122420889608748e-25
237.0,2.9570643996820257e-50,1.4716617121697515e-25
238.0,3.7686494698421727e-50,1.9456035750342117e-25
239.0,4.802511970037854e-50,2.5706514792112844e-25
240.0,6.1119500099824245e-50,3.387402993174337e-25
241.0,7.777869649302147e-50,4.4640594787302365e-25
242.0,9.889481429518825e-50,5.875088106629501e-25
243.0,1.2554310224897835e-49,7.712188132173334e-25
244.0,1.5936597221237937e-49,1.0129741820289414e-24
245.0,2.020345770489219e-49,1.3279999960684608e-24
246.0,2.5576002484053465e-49,1.7375103255582594e-24
247.0,3.2368323920524703e-49,2.2737402205854595e-24
