time_s,Product,Impurity
0.0,1.6562740091703705e-21,3.3560651726829287e-13
7.214428857715431,2.2500005234644696e-21,4.529299088604227e-13
14.428857715430862,3.0535550351632115e-21,6.102867693957514e-13
21.64328657314629,4.1400118560090235e-21,8.20992615373088e-13
28.857715430861724,5.607510793385018e-21,1.1026733734235177e-12
36.07214428857716,7.587720971125292e-21,1.4786209850530125e-12
43.28657314629258,1.0257116444671162e-20,1.9795623463514213e-12
50.501002004008015,1.3851982055367108e-20,2.6459634713126943e-12
57.71543086172345,1.8688362732520736e-20,3.5310254283149493e-12
64.92985971943888,2.5188557094293192e-20,4.704572730592577e-12
72.14428857715431,3.3916265428079246e-20,6.2580909382114914e-12
79.35871743486975,4.5623170352956487e-20,8.31124134122743e-12
86.57314629258516,6.131060436198931e-20,1.1020270590718848e-11
93.7875751503006,8.231110529456326e-20,1.458884681059201e-11
101.00200400801603,1.1039616077216939e-19,1.9281996991389237e-11
108.21643286573146,1.4791840232559564e-19,2.5444000678186288e-11
115.4308617234469,1.9799906742590648e-19,3.3521321178823735e-11
122.64529058116233,2.647748815871863e-19,4.40919388945567e-11
129.85971943887776,3.5372285409501046e-19,5.790280562204784e-11
137.0741482965932,4.720871279208761e-19,7.591758059705436e-11
144.28857715430863,6.294393615596388e-19,9.93773591933815e-11
151.50300601202406,8.384136432264748e-19,1.2987778861978489e-10
158.7174348697395,1.1156692834173472e-18,1.6946681217252083e-10
165.93186372745492,1.4831508193695629e-18,2.2076833162546898e-10
173.14629258517033,1.9697352459228307e-18,2.871383710037696e-10
180.36072144288576,2.613383209868772e-18,3.7286191843889637e-10
187.5751503006012,3.4639453957480426e-18,4.834005812790015e-10
194.78957915831663,4.5868197990193e-18,6.257035915216125e-10
202.00400801603206,6.06771284989075e-18,8.085976379051415e-10
209.2184368737475,8.018831019891409e-18,1.0432745899606128e-09
216.43286573146293,1.0586924205265564e-17,1.3439005518947724e-09
223.64729458917836,1.396372368318341e-17,1.7283749995678929e-09
230.8617234468938,1.8399473214454402e-17,2.219275200832718e-09
238.07615230460922,2.4220451365839806e-17,2.845028921344294e-09
245.29058116232466,3.1851638331431775e-17,3.6413678378364037e-09
252.5050100200401,4.184600663531891e-17,4.653125428228528e-09
259.7194388777555,5.4922331324364925e-17,5.936456745509477e-09
266.9338677354709,7.201394592074487e-17,7.561573834066596e-09
274.1482965931864,9.433154619963152e-17,9.616110106923499e-09
281.3627254509018,1.2344400351294519e-16,1.220925034391739e-08
288.57715430861725,1.6138224168399135e-16,1.5476790758409067e-08
295.79158316633266,2.1077261784426718e-16,1.9587326580180505e-08
303.0060120240481,2.7500800513839447e-16,2.4749803696315147e-08
310.2204408817635,3.5846700085760676e-16,3.1222717090468817e-08
317.434869739479,4.667944987430799e-16,3.9325293277988134e-08
324.6492985971944,6.072604210483558e-16,4.945105796284412e-08
331.86372745490985,7.89217894751789e-16,6.208426523072468e-08
339.07815631262525,1.0246878148016986e-15,7.781975242138024e-08
346.29258517034066,1.3291038621243596e-15,9.7386887282089e-08
353.5070140280561,1.7222610050792578e-15,1.2167839320866144e-07
